Epoch,Train Loss,Train Accuracy,Validation Accuracy,Validation Weighted F1
1,1.7685344616572063,0.3258426966292135,0.45209580838323354,0.3994229826628058
2,1.3036699138936543,0.4681647940074906,0.5479041916167665,0.504705327704995
3,1.0785137940020788,0.5393258426966292,0.592814371257485,0.5675590829720372
4,0.9810795869146075,0.5543071161048689,0.6227544910179641,0.6139704136435654
5,0.9345221391745976,0.597752808988764,0.6317365269461078,0.6200057046367028
6,0.8756394755272638,0.6059925093632959,0.6616766467065869,0.6378141809761906
7,0.8549978548572177,0.6367041198501873,0.655688622754491,0.6326771889116763
8,0.8142906980855125,0.652434456928839,0.688622754491018,0.6718934271497757
9,0.7876785951001304,0.6629213483146067,0.7095808383233533,0.6920083153695323
10,0.7738379353568667,0.6808988764044944,0.7125748502994012,0.702566927136424
11,0.7440937594288871,0.6913857677902622,0.7604790419161677,0.7505434317349028
12,0.7258255424953642,0.697378277153558,0.7724550898203593,0.7688891027370155
13,0.7096838865961347,0.7048689138576779,0.7604790419161677,0.7532023366519993
14,0.6835085806392488,0.7280898876404495,0.7694610778443114,0.7674539452050219
15,0.6582394001029787,0.7220973782771536,0.7664670658682635,0.7575161883217589
16,0.6593758556104842,0.7415730337078652,0.7634730538922155,0.7594869852739096
17,0.6465945336080733,0.7460674157303371,0.7874251497005988,0.7797452308403299
18,0.6232545418398721,0.7490636704119851,0.781437125748503,0.7791594540795642
19,0.6304000445774623,0.7475655430711611,0.7844311377245509,0.7797753646309866
20,0.6209052928856441,0.746816479400749,0.7874251497005988,0.780974946616792
21,0.6179249868506477,0.7370786516853932,0.7844311377245509,0.7784975033861335
22,0.6075290150585628,0.755056179775281,0.7754491017964071,0.7719360319577211
23,0.5795912011748269,0.7632958801498128,0.7844311377245509,0.7780655453030317
24,0.598027494691667,0.7460674157303371,0.7964071856287425,0.790448918153419
25,0.5643792173692158,0.7700374531835206,0.8023952095808383,0.7939283465523552
26,0.5811827672379357,0.7737827715355805,0.7994011976047904,0.7918390018452854
27,0.5839060835895085,0.7632958801498128,0.8053892215568862,0.8019852333272132
28,0.5793948010319755,0.7625468164794007,0.8083832335329342,0.8029585451744234
29,0.5670364797115326,0.7707865168539326,0.811377245508982,0.8034441559019292
30,0.5594565073649088,0.7730337078651686,0.8083832335329342,0.805202091315723
31,0.5619630948418662,0.7737827715355805,0.8233532934131736,0.8187302383037561
32,0.539431332832291,0.7857677902621722,0.8023952095808383,0.7930457806407745
33,0.5303680896759033,0.7812734082397004,0.7934131736526946,0.7840397628695902
34,0.554484819372495,0.7812734082397004,0.8053892215568862,0.7972545530945091
35,0.5442465295394262,0.7790262172284644,0.8203592814371258,0.8135710680694971
36,0.545272871142342,0.7827715355805244,0.7994011976047904,0.7887626193072674
37,0.5125334333805811,0.7917602996254681,0.7964071856287425,0.7867000580052862
38,0.5211892553738185,0.7880149812734082,0.811377245508982,0.8044153297778275
39,0.5140272144760404,0.7962546816479401,0.8083832335329342,0.8005081570395174
40,0.5590914026612327,0.7805243445692884,0.8083832335329342,0.8018609658528779
41,0.5361085697298958,0.7902621722846442,0.811377245508982,0.8062754607288258
42,0.5337831009001959,0.7917602996254681,0.8143712574850299,0.8057155344604686
43,0.5163628224815641,0.8097378277153559,0.8203592814371258,0.8129128640051535
