Model,Accuracy,Macro F1,Weighted F1,Precision,Recall,ROC-AUC,Parameters,Best Val F1,Best Epoch
"Q1 - Pure Angle (10q, 2L)",0.7894736842105263,0.7769389523867228,0.7821918163392149,0.7904489865223838,0.7894736842105263,0.9698449081475656,335,0.8448366973095023,48
"Q2 - Pure Angle (10q, 4L)",0.7511961722488039,0.7388623046454222,0.7472968610015774,0.7509304372651113,0.7511961722488039,0.9601758415618502,375,0.8036849513926221,45
"Q3 - Hybrid Encoding (10q+4q, 2L+2L)",0.7870813397129187,0.7756318883642893,0.7817391613360175,0.7804863517874436,0.7870813397129187,0.9704572323267642,415,0.8187302383037561,31
