Epoch,Train Loss,Train Accuracy,Validation Accuracy,Validation Weighted F1
1,1.899688720703125,0.21198501872659176,0.3083832335329341,0.21309082961244022
2,1.4613570854777382,0.3880149812734082,0.5269461077844312,0.4506038198672192
3,1.0877953327837444,0.5235955056179775,0.592814371257485,0.5552696800946464
4,0.9656337783450172,0.5610486891385768,0.6167664670658682,0.5754379710318579
5,0.8791922799178532,0.5947565543071162,0.6766467065868264,0.6636544065711417
6,0.83419982450349,0.6082397003745318,0.6916167664670658,0.6776725015708126
7,0.8297899351233528,0.6074906367041198,0.7455089820359282,0.7381398866484057
8,0.7841155557405382,0.6322097378277154,0.7275449101796407,0.7137445956349759
9,0.7556873872166588,0.652434456928839,0.7664670658682635,0.7595115999005029
10,0.7309081540221259,0.6883895131086142,0.7305389221556886,0.7101761143723369
11,0.7241985521146229,0.6771535580524345,0.7694610778443114,0.7611670350257649
12,0.7158935744137991,0.6823970037453183,0.7604790419161677,0.7556141400748834
13,0.6904824070987248,0.7048689138576779,0.7694610778443114,0.7601631250235371
14,0.690801990883691,0.704119850187266,0.7574850299401198,0.7505204042157803
15,0.6748980014097123,0.7078651685393258,0.7784431137724551,0.7720253489304304
16,0.6536833140112105,0.7176029962546816,0.7754491017964071,0.7733677869451745
17,0.6520687292019526,0.7408239700374532,0.7874251497005988,0.7771540338057232
18,0.6464357454152334,0.7183520599250937,0.781437125748503,0.773853745956599
19,0.6511360669419879,0.7228464419475655,0.781437125748503,0.7686339061942913
20,0.6430029556864784,0.7198501872659177,0.7994011976047904,0.7935822746280444
21,0.6268073781615212,0.7265917602996255,0.7934131736526946,0.7886318106988894
22,0.6171647835345495,0.7220973782771536,0.7994011976047904,0.7924796699274916
23,0.6058673312266668,0.7318352059925094,0.8083832335329342,0.8005174499100616
24,0.6163875141314098,0.7280898876404495,0.8263473053892215,0.8203984025989536
25,0.590182717357363,0.752059925093633,0.781437125748503,0.7648152244847566
26,0.5970641651323864,0.7400749063670412,0.8293413173652695,0.824501497070914
27,0.5972884645064672,0.7378277153558053,0.8143712574850299,0.8083728802029139
28,0.5973776642765317,0.7573033707865169,0.8173652694610778,0.8111485100279844
29,0.5995085154260907,0.7393258426966293,0.8053892215568862,0.795997933133382
30,0.5985932499170303,0.7363295880149813,0.7994011976047904,0.7915210602627425
31,0.578293380283174,0.755056179775281,0.8173652694610778,0.8124444484511252
32,0.575967672325316,0.7558052434456929,0.8143712574850299,0.8045673210308556
33,0.5677198632842019,0.7670411985018727,0.8353293413173652,0.8298864832879906
34,0.5790949825729642,0.750561797752809,0.8203592814371258,0.8145984202012712
35,0.5626922114973977,0.7602996254681648,0.8293413173652695,0.8238547741038206
36,0.5573228540874663,0.7737827715355805,0.844311377245509,0.8413164831177761
37,0.5652788572368168,0.7632958801498128,0.8143712574850299,0.8065913747195682
38,0.5755266462053571,0.7602996254681648,0.8353293413173652,0.829953461904859
39,0.5559140557334536,0.7528089887640449,0.8203592814371258,0.812767266379944
40,0.5617812346844446,0.7700374531835206,0.8413173652694611,0.8380190780832282
41,0.5438612266665414,0.7715355805243446,0.8353293413173652,0.8322131494055219
42,0.5554582859788623,0.753558052434457,0.8233532934131736,0.8204609819797181
43,0.5541959355274836,0.7647940074906368,0.8143712574850299,0.8068292508542126
44,0.5600958679403577,0.7677902621722846,0.8233532934131736,0.814509690172558
45,0.5430218066487994,0.7782771535580524,0.8293413173652695,0.8238349313259062
46,0.5533130211489541,0.7715355805243446,0.8473053892215568,0.8436290121609451
47,0.5375697456655049,0.7722846441947565,0.8413173652694611,0.8361961339815883
48,0.5293248799585161,0.7767790262172285,0.8473053892215568,0.8448366973095023
49,0.5506846716716176,0.7700374531835206,0.8383233532934131,0.8358904680357964
50,0.539496069862729,0.7812734082397004,0.8353293413173652,0.8300290393027402
