Epoch,Train Loss,Train Accuracy,Validation Accuracy,Validation Weighted F1
1,1.9404275530860537,0.16853932584269662,0.16766467065868262,0.04814985413787809
2,1.85090134257362,0.2651685393258427,0.40119760479041916,0.342176980604979
3,1.619088922228132,0.3438202247191011,0.4101796407185629,0.34013712408637325
4,1.453750925404685,0.37453183520599254,0.45808383233532934,0.42116011318957913
5,1.34804429042907,0.4419475655430712,0.4820359281437126,0.39429735093145113
6,1.2788297746862685,0.4666666666666667,0.5,0.45657120532838685
7,1.2175124429521107,0.48764044943820223,0.5209580838323353,0.4815460247214072
8,1.1720141030493236,0.500374531835206,0.5658682634730539,0.5187747376458665
9,1.151774131116413,0.5116104868913858,0.5658682634730539,0.5132086588498316
10,1.1146833371548426,0.5078651685393258,0.5778443113772455,0.542327314423367
11,1.062182413680213,0.552059925093633,0.5748502994011976,0.5463413194155294
12,1.0233570365678697,0.5737827715355805,0.5838323353293413,0.5610920950591158
13,0.9893162718841008,0.5722846441947566,0.6107784431137725,0.5948629656359643
14,0.9490616420904795,0.6,0.6526946107784432,0.6387279226024345
15,0.9511326622395289,0.6,0.6317365269461078,0.6120531198646212
16,0.9226327112742833,0.6067415730337079,0.6706586826347305,0.6585918255768162
17,0.9047665269601912,0.6284644194756555,0.6766467065868264,0.6572283040925863
18,0.8905037400268373,0.6262172284644195,0.7245508982035929,0.7137853394298993
19,0.8638205599217188,0.6329588014981273,0.718562874251497,0.7095201796664015
20,0.8595891850335258,0.6449438202247191,0.7065868263473054,0.700755114276302
21,0.8479380494072324,0.6546816479400749,0.7095808383233533,0.7020221409729684
22,0.8114470811117263,0.6569288389513108,0.7455089820359282,0.7376157350868393
23,0.8437036006223588,0.6344569288389513,0.7305389221556886,0.71830122316264
24,0.8251321741512844,0.6681647940074906,0.718562874251497,0.7105129115005809
25,0.7857543698378971,0.695880149812734,0.7514970059880239,0.7442652562233529
26,0.7910870157537007,0.6831460674157304,0.7395209580838323,0.7333582623196835
27,0.7787143644832429,0.6704119850187266,0.7065868263473054,0.6935047291860101
28,0.7589952080022722,0.6831460674157304,0.7485029940119761,0.7404383394146683
29,0.7701693702311743,0.6868913857677903,0.7245508982035929,0.716928253962034
30,0.7497225098666691,0.6838951310861423,0.7305389221556886,0.7216673636098152
31,0.7328732467833019,0.698876404494382,0.7155688622754491,0.7029510690435998
32,0.745538592338562,0.7048689138576779,0.7125748502994012,0.7047222379780037
33,0.7356497333163307,0.6883895131086142,0.7215568862275449,0.7132746796798005
34,0.7062950836760657,0.7071161048689139,0.7455089820359282,0.7394743100719463
35,0.6923780959276926,0.7161048689138577,0.7425149700598802,0.7348996690078473
36,0.6896989274592626,0.7086142322097378,0.7634730538922155,0.7567936007941228
37,0.6756392930235181,0.7243445692883895,0.7275449101796407,0.7087916202812934
38,0.6924582315342767,0.7071161048689139,0.7724550898203593,0.7682012220996641
39,0.6653832495212555,0.7378277153558053,0.7874251497005988,0.7827956834328236
40,0.6645784683170772,0.7220973782771536,0.7784431137724551,0.7754275487902521
41,0.6503304945571082,0.7438202247191011,0.7634730538922155,0.7587927714137148
42,0.6710549734887623,0.7265917602996255,0.7994011976047904,0.7990476173168479
43,0.6614283479395366,0.7235955056179775,0.8023952095808383,0.7979847865926978
44,0.6618500571875345,0.7340823970037453,0.8023952095808383,0.8017917724921674
45,0.641795617483911,0.7370786516853932,0.8053892215568862,0.8036849513926221
46,0.6423661197934832,0.7408239700374532,0.781437125748503,0.779437380202845
47,0.634835754831632,0.7228464419475655,0.7844311377245509,0.7825930189887109
48,0.6371128885518937,0.7303370786516854,0.8023952095808383,0.8007045250510083
49,0.6236162590129035,0.751310861423221,0.7934131736526946,0.7918362329162909
50,0.6239978656882331,0.746816479400749,0.7844311377245509,0.7856597269933719
