Model,Qubits,Layers,Encoding,Accuracy,Macro F1,Weighted F1,Precision,Recall,ROC-AUC,Best Val F1,Best Epoch,Parameters
"Hybrid Quantum Q1 (10 özellik, 2 layer)",10,2,Angle,0.7894736842105263,0.7769389523867228,0.7821918163392149,0.7904489865223838,0.7894736842105263,0.9698449081475656,0.8448366973095023,48,335
"Hybrid Quantum Q2 (10 özellik, 4 layer)",10,4,Angle,0.7511961722488039,0.7388623046454222,0.7472968610015774,0.7509304372651113,0.7511961722488039,0.9601758415618502,0.8036849513926221,45,375
