,Insufficient_Weight,Normal_Weight,Obesity_Type_I,Obesity_Type_II,Obesity_Type_III,Overweight_Level_I,Overweight_Level_II
Insufficient_Weight,44,9,0,0,0,0,0
Normal_Weight,7,45,0,0,0,5,0
Obesity_Type_I,0,0,62,5,0,0,3
Obesity_Type_II,0,0,0,60,0,0,0
Obesity_Type_III,0,0,3,0,62,0,0
Overweight_Level_I,1,11,13,0,0,25,5
Overweight_Level_II,0,0,12,3,0,11,32
